User,Text,Date Tweeted,Compound Point,Positive Point,Neutral Point,Negative Point,Tweets Ago
@CBS,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO,Sun Apr 01 17:00:03 +0000 2018,0.6486,0.202,0.798,0.0,21
@CBS,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI",Sat Mar 31 18:00:00 +0000 2018,0.0,0.0,1.0,0.0,22
@CBS,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2,Sat Mar 31 15:30:00 +0000 2018,0.4199,0.113,0.887,0.0,23
@CBS,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,Fri Mar 30 16:50:00 +0000 2018,0.4926,0.127,0.873,0.0,24
@CBS,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",Thu Mar 29 17:32:40 +0000 2018,0.0,0.0,1.0,0.0,25
@CBS,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",Thu Mar 29 17:30:02 +0000 2018,0.0,0.0,1.0,0.0,26
@CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,Tue Mar 27 21:00:01 +0000 2018,0.3818,0.212,0.68,0.108,27
@CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,Tue Mar 27 17:00:00 +0000 2018,0.296,0.099,0.901,0.0,28
@CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",Mon Mar 26 22:14:25 +0000 2018,0.508,0.12,0.88,0.0,29
@CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",Mon Mar 26 20:42:48 +0000 2018,0.0,0.0,1.0,0.0,30
